Taxon,Divergence
 GCA_000425265.1,Bdellovibrionota+Myxococcota
 GCA_900101105.1,Bdellovibrionota+Myxococcota
 GCA_001652585.1,Bdellovibrionota+Myxococcota
 GCA_900167465.1,Bdellovibrionota+Myxococcota
 GCA_000018405.1,Bdellovibrionota+Myxococcota
 GCA_000817955.1,Bdellovibrionota+Myxococcota
 GCA_009689005.1,Bdellovibrionota+Myxococcota
 GCA_000176915.2,Bdellovibrionota+Myxococcota
 GCA_900130015.1,Bdellovibrionota+Myxococcota
 GCA_000020385.1,Bdellovibrionota+Myxococcota
 GCA_000025945.1,Bdellovibrionota+Myxococcota
 GCA_003751385.1,Bdellovibrionota+Myxococcota
 GCA_000686525.1,Bdellovibrionota+Myxococcota
 GCA_000420085.1,Bdellovibrionota+Myxococcota
 GCA_000621145.1,Bdellovibrionota+Myxococcota
 GCA_001514535.1,Bdellovibrionota+Myxococcota
 GCA_000423845.1,Bdellovibrionota+Myxococcota
 GCA_002482565.1,Bdellovibrionota+Myxococcota
 GCA_000014965.1,Bdellovibrionota+Myxococcota
 GCA_000013405.1,Bdellovibrionota+Myxococcota
 GCA_000179315.1,Bdellovibrionota+Myxococcota
 GCA_000022265.1,Bdellovibrionota+Myxococcota
 GCA_000961725.1,Bdellovibrionota+Myxococcota
 GCA_000827125.1,Bdellovibrionota+Myxococcota
 GCA_900101955.1,Bdellovibrionota+Myxococcota
 GCA_000422285.1,Bdellovibrionota+Myxococcota
 GCA_900104445.1,Bdellovibrionota+Myxococcota
 GCA_014202345.1,Bdellovibrionota+Myxococcota
 GCA_900101345.1,Bdellovibrionota+Myxococcota
 GCA_000350545.1,Bdellovibrionota+Myxococcota
 GCA_000331025.1,Bdellovibrionota+Myxococcota
 GCA_000143965.1,Bdellovibrionota+Myxococcota
 GCA_014218275.1,Bdellovibrionota+Myxococcota
 GCA_000341895.1,Bdellovibrionota+Myxococcota
 GCA_000717475.2,Bdellovibrionota+Myxococcota
 GCA_000307105.1,Bdellovibrionota+Myxococcota
 GCA_000020985.1,Bdellovibrionota+Myxococcota
 GCA_001311985.1,Bdellovibrionota+Myxococcota
 GCA_000020725.1,Bdellovibrionota+Myxococcota
 GCA_000384395.1,Bdellovibrionota+Myxococcota
 GCA_000430005.1,Bdellovibrionota+Myxococcota
 GCA_000428825.1,Bdellovibrionota+Myxococcota
 GCA_000015045.1,Bdellovibrionota+Myxococcota
 GCA_000429965.1,Bdellovibrionota+Myxococcota
 GCA_900142135.1,Bdellovibrionota+Myxococcota
 GCA_000746255.1,Bdellovibrionota+Myxococcota
 GCA_000174435.1,Bdellovibrionota+Myxococcota
 GCA_001278055.1,Bdellovibrionota+Myxococcota
 GCA_000375485.1,Bdellovibrionota+Myxococcota
 GCA_000422245.1,Bdellovibrionota+Myxococcota
 GCA_001303025.1,Bdellovibrionota+Myxococcota
 GCA_001304105.1,Bdellovibrionota+Myxococcota
 GCA_001311565.1,Bdellovibrionota+Myxococcota
 GCA_900129975.1,Bdellovibrionota+Myxococcota
GCA_000316515.1,Cyanobacteriota+Chloroflexota
 GCA_001180285.1,Cyanobacteriota+Chloroflexota
 GCA_000018105.1,Cyanobacteriota+Chloroflexota
 GCA_002754935.1,Cyanobacteriota+Chloroflexota
 GCA_002075285.3,Cyanobacteriota+Chloroflexota
